;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
España;20,1*;20,1 ;20,1 ;20,3 ;19,7 ;19,8 ;20,4 ;20,7 ;20,6 ;20,8 ;20,4 ;22,2 ;22,1 ;22,3 ;21,6 ;21,5 ;20,7 
UE-27;..;16,5e;16,5e;16,6 ;16,6 ;16,4 ;16,5 ;16,8 ;16,8 ;16,7 ;17,2 ;17,3 ;17,3 ;16,9 ;17,0 ;16,5e;..
UE-28;..;..;..;..;..;..;16,5 ;16,9 ;16,8 ;16,7 ;17,2 ;17,3 ;17,3 ;16,9 ;17,1 ;16,8e;..
