Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Asturias, Principado de;Ambos sexos;1987;76,15
Asturias, Principado de;Ambos sexos;1986;76,14
Asturias, Principado de;Ambos sexos;1985;75,67
Asturias, Principado de;Ambos sexos;1984;75,71
Asturias, Principado de;Ambos sexos;1983;75,59
Asturias, Principado de;Ambos sexos;1982;75,27
Asturias, Principado de;Ambos sexos;1981;75,16
Asturias, Principado de;Ambos sexos;1980;74,55
Asturias, Principado de;Ambos sexos;1979;74,31
Asturias, Principado de;Ambos sexos;1978;74,24
Asturias, Principado de;Ambos sexos;1977;73,45
Asturias, Principado de;Ambos sexos;1976;73,47
Asturias, Principado de;Ambos sexos;1975;73,26
Balears, Illes;Ambos sexos;2020;83,46
Balears, Illes;Ambos sexos;2019;83,71
Balears, Illes;Ambos sexos;2018;83,23
Balears, Illes;Ambos sexos;2017;82,9
Balears, Illes;Ambos sexos;2016;83,03
Balears, Illes;Ambos sexos;2015;82,42
Balears, Illes;Ambos sexos;2014;82,7
Balears, Illes;Ambos sexos;2013;82,62
Balears, Illes;Ambos sexos;2012;81,87
Balears, Illes;Ambos sexos;2011;81,93
Balears, Illes;Ambos sexos;2010;81,56
Balears, Illes;Ambos sexos;2009;81,15
Balears, Illes;Ambos sexos;2008;81,19
Balears, Illes;Ambos sexos;2007;81,26
Balears, Illes;Ambos sexos;2006;80,85
Balears, Illes;Ambos sexos;2005;80,33
Balears, Illes;Ambos sexos;2004;80,27
Balears, Illes;Ambos sexos;2003;79,78
Balears, Illes;Ambos sexos;2002;79,47
Balears, Illes;Ambos sexos;2001;79,14
Balears, Illes;Ambos sexos;2000;78,42
Balears, Illes;Ambos sexos;1999;78,13
Balears, Illes;Ambos sexos;1998;78,46
Balears, Illes;Ambos sexos;1997;78,28
Balears, Illes;Ambos sexos;1996;77,66
Balears, Illes;Ambos sexos;1995;77,32
Balears, Illes;Ambos sexos;1994;77,63
Balears, Illes;Ambos sexos;1993;76,97
Balears, Illes;Ambos sexos;1992;76,76
Balears, Illes;Ambos sexos;1991;76,1
Balears, Illes;Ambos sexos;1990;75,96
Balears, Illes;Ambos sexos;1989;75,87
Balears, Illes;Ambos sexos;1988;76,1
Balears, Illes;Ambos sexos;1987;75,62
Balears, Illes;Ambos sexos;1986;75,12
Balears, Illes;Ambos sexos;1985;75,27
Balears, Illes;Ambos sexos;1984;75,35
Balears, Illes;Ambos sexos;1983;74,54
Balears, Illes;Ambos sexos;1982;75,91
Balears, Illes;Ambos sexos;1981;76,22
Balears, Illes;Ambos sexos;1980;75,47
Balears, Illes;Ambos sexos;1979;74,72
Balears, Illes;Ambos sexos;1978;74,74
Balears, Illes;Ambos sexos;1977;74,21
Balears, Illes;Ambos sexos;1976;73,77
Balears, Illes;Ambos sexos;1975;73,72
Canarias;Ambos sexos;2020;82,67
Canarias;Ambos sexos;2019;82,79
Canarias;Ambos sexos;2018;82,1
Canarias;Ambos sexos;2017;82,39
Canarias;Ambos sexos;2016;82,19
Canarias;Ambos sexos;2015;81,86
Canarias;Ambos sexos;2014;81,98
Canarias;Ambos sexos;2013;82,05
Canarias;Ambos sexos;2012;81,44
Canarias;Ambos sexos;2011;81,29
Canarias;Ambos sexos;2010;81,39
Canarias;Ambos sexos;2009;80,91
Canarias;Ambos sexos;2008;79,8
Canarias;Ambos sexos;2007;79,78
Canarias;Ambos sexos;2006;79,61
Canarias;Ambos sexos;2005;79,1
Canarias;Ambos sexos;2004;78,77
Canarias;Ambos sexos;2003;78,61
Canarias;Ambos sexos;2002;78,59
Canarias;Ambos sexos;2001;78,06
Canarias;Ambos sexos;2000;77,52
Canarias;Ambos sexos;1999;77,45
Canarias;Ambos sexos;1998;77,31
Canarias;Ambos sexos;1997;77,61
Canarias;Ambos sexos;1996;77,15
Canarias;Ambos sexos;1995;77,52
Canarias;Ambos sexos;1994;77,13
Canarias;Ambos sexos;1993;76,48
Canarias;Ambos sexos;1992;76,71
Canarias;Ambos sexos;1991;76,29
Canarias;Ambos sexos;1990;76,02
Canarias;Ambos sexos;1989;75,45
Canarias;Ambos sexos;1988;75,27
Canarias;Ambos sexos;1987;75,5
Canarias;Ambos sexos;1986;75,75
Canarias;Ambos sexos;1985;75,16
Canarias;Ambos sexos;1984;75,11
Canarias;Ambos sexos;1983;75,04
Canarias;Ambos sexos;1982;74,91
Canarias;Ambos sexos;1981;74,56
Canarias;Ambos sexos;1980;74,38
Canarias;Ambos sexos;1979;73,52
Canarias;Ambos sexos;1978;73,29
Canarias;Ambos sexos;1977;73,81
Canarias;Ambos sexos;1976;72,74
Canarias;Ambos sexos;1975;73,33
Cantabria;Ambos sexos;2020;83,02
Cantabria;Ambos sexos;2019;83,6
Cantabria;Ambos sexos;2018;83,35
Cantabria;Ambos sexos;2017;83,33
Cantabria;Ambos sexos;2016;83,16
Cantabria;Ambos sexos;2015;82,71
Cantabria;Ambos sexos;2014;82,79
Cantabria;Ambos sexos;2013;82,97
Cantabria;Ambos sexos;2012;82,54
Cantabria;Ambos sexos;2011;82,42
Cantabria;Ambos sexos;2010;82,06
Cantabria;Ambos sexos;2009;81,96
Cantabria;Ambos sexos;2008;81,62
Cantabria;Ambos sexos;2007;80,99
Cantabria;Ambos sexos;2006;80,99
Cantabria;Ambos sexos;2005;81,07
Cantabria;Ambos sexos;2004;80,82
Cantabria;Ambos sexos;2003;80,39
Cantabria;Ambos sexos;2002;80,11
Cantabria;Ambos sexos;2001;80,27
Cantabria;Ambos sexos;2000;79,35
Cantabria;Ambos sexos;1999;79,23
Cantabria;Ambos sexos;1998;79,55
Cantabria;Ambos sexos;1997;78,8
Cantabria;Ambos sexos;1996;78,57
Cantabria;Ambos sexos;1995;78,25
Cantabria;Ambos sexos;1994;78,48
Cantabria;Ambos sexos;1993;77,96
Cantabria;Ambos sexos;1992;77,75
Cantabria;Ambos sexos;1991;77,62
Cantabria;Ambos sexos;1990;77,15
Cantabria;Ambos sexos;1989;77,11
Cantabria;Ambos sexos;1988;77,21
Cantabria;Ambos sexos;1987;77,09
Cantabria;Ambos sexos;1986;77,03
Cantabria;Ambos sexos;1985;76,58
Cantabria;Ambos sexos;1984;76,83
Cantabria;Ambos sexos;1983;76,06
Cantabria;Ambos sexos;1982;76,24
Cantabria;Ambos sexos;1981;75,85
Cantabria;Ambos sexos;1980;75,21
Cantabria;Ambos sexos;1979;74,89
Cantabria;Ambos sexos;1978;75,39
Cantabria;Ambos sexos;1977;74,24
Cantabria;Ambos sexos;1976;73,79
Cantabria;Ambos sexos;1975;73,17
Castilla y León;Ambos sexos;2020;82,53
Castilla y León;Ambos sexos;2019;84,2
Castilla y León;Ambos sexos;2018;83,92
Castilla y León;Ambos sexos;2017;83,82
Castilla y León;Ambos sexos;2016;83,82
Castilla y León;Ambos sexos;2015;83,58
Castilla y León;Ambos sexos;2014;83,61
Castilla y León;Ambos sexos;2013;83,48
Castilla y León;Ambos sexos;2012;83,16
Castilla y León;Ambos sexos;2011;83,17
Castilla y León;Ambos sexos;2010;82,9
Castilla y León;Ambos sexos;2009;82,67
Castilla y León;Ambos sexos;2008;82,22
Castilla y León;Ambos sexos;2007;81,87
Castilla y León;Ambos sexos;2006;81,94
