;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
España;5,2*;5,6 ;5,5 ;5,5 ;5,6 ;5,9 ;6,2 ;6,3 ;6,5 ;6,3 ;6,8 ;6,9 ;6,6 ;6,6 ;6,0 ;5,9 ;5,8 
UE-15;4,8 ;4,8 ;4,7 ;4,9 ;4,9 ;4,9 ;4,9 ;5,0 ;4,9 ;4,9 ;5,2 ;..;..;..;..;..;..
UE-27;..;5,0 ;5,0 ;5,0 ;5,0 ;4,9 ;4,9 ;5,0 ;5,0 ;5,0 ;5,2 ;5,2 ;5,2 ;5,1 ;5,1 ;5,0 ;..
UE-28;..;..;..;..;..;..;4,9 ;5,0 ;5,0 ;5,0 ;5,2 ;5,2 ;5,2 ;5,1 ;5,1 ;5,1 ;..
