;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Mediana;;;;;;;;;;;;;;;;;
España;10327*;10453 ;11138 ;11645 ;13.966*;14795 ;14605 ;13929 ;13868 ;13524 ;13269 ;13352 ;13681 ;14203 ;14785 ;15015 ;16043 
UE-27;..;12.646e;12.953e;13914 ;14623 ;14775 ;14919 ;15041 ;15543 ;15522 ;15881 ;16228 ;16619 ;16979 ;17522 ;17418 ;..
UE-28;..;..;..;..;..;..;14841 ;14960 ;15456 ;15433 ;15790 ;16138 ;16529 ;16891 ;17435 ;17819 ;..
